assay,cells,compound,condition,exposure_time,response,treatment
LDH,SVG,DEP,Hypoxia,48 Hours,2.1516769915766494,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.330868225274151,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.0620813747278985,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.659385487052904,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.973454534167914,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.2452462002808868,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.06549977278589314,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.24502640305687096,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.5014930177296962,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.9118396012062169,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.8092529553370866,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.4760661534864297,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.8609858727196866,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.4504194920191473,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.32196638745871853,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.06549977278589314,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.16808641865502327,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,0.8348996168043692,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.065719570009912,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,1.5017128149537122,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.476285950710449,Blank
LDH,SVG,DEP,Hypoxia,48 Hours,2.1428793516357754,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.9118396012062169,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.32196638745871853,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.6040796635988264,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.5527863406642614,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.2708928617481694,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.9377060598975153,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.886632534186969,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.835119414028385,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.681019648000674,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,-0.011440211615954432,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8348996168043692,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.3221861846827345,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.2708928617481694,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.347832846150017,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.8609858727196866,20 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.7838260910938202,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8348996168043692,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.065719570009912,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.8605462782716518,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.1170128929444743,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.0400729085426295,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.732532768159255,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.4252124249999025,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.9377060598975153,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.6553729865333915,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.4501996947951312,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.24502640305687096,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.7323129709352391,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,0.6040796635988264,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.5017128149537122,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.7073257011400105,50 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.29697911766349,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.296759320439471,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.835119414028385,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.9889993828320804,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.6555927837574074,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.0915860287012107,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.758399226850557,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,4.297198914887509,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,3.271332456196207,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.8607660754956679,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.6812394452246902,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.6812394452246902,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.6812394452246902,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,1.8864127369629502,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,2.1428793516357754,100 ug/ml
LDH,SVG,DEP,Hypoxia,48 Hours,4.168965607551096,100 ug/ml
LDH,SVG,Ox66,Normoxia,48 Hours,1.3643376073942384,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.9058453374149711,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.88947061348714,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.7420980981366606,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.7912222699201538,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.8567211656314779,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.88947061348714,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.8064551534456768,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.3643376073942384,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.0368431288376194,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.8567211656314779,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.7584728220644916,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.7748475459923228,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.6438497545696744,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.88947061348714,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.4298365031055627,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,2.314071595208439,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.8064551534456768,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7409562577343525,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6099584663117041,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7737057055900145,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.035701288435311,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.1012001841466352,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,3.050934171960836,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.8719540491570008,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6918320859508593,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2497145398994212,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.167840920260266,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.3970870552499006,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.3807123313220695,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2988387116829143,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.264947423424946,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.297696871280608,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.560834294528211,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.560834294528211,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6590826380951973,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7245815338065213,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.8392046013013386,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.035701288435311,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.5924419019815668,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.1994485277136215,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6754573620230282,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.577209018456042,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.4134617791777315,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2824639877550832,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.577209018456042,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.54445957060038,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.395945214847594,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7082068098786904,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7900804295178456,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.3643376073942384,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.4298365031055627,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.0368431288376194,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.577209018456042,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.4789606748890558,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.3631957669919323,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.2485726994971147,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7737057055900145,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.593583742383873,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.8228298773735077,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.577209018456042,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7737057055900145,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.002951840579649,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.7889385891155394,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.3325910741272602,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.9354674035275472,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.8163303023476334,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.5912935556744643,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.6971932011677195,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.0016546819608327,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.1075543274540895,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.729714744726973,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.5179154537404593,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.9487048592142043,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.6839557454810624,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.8428052137209475,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.6045310113611213,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.7766179352876621,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,0.9089924921542331,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.5046779980538023,Blank
LDH,SVG,Ox66,Normoxia,48 Hours,1.6635274662936874,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.0943168717674323,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,0.9751797705875185,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,0.7766179352876621,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,0.9884172262741756,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2134539729473461,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7032398333536587,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.2195006051332857,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.4312998961197976,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7032398333536587,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6635274662936874,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2796412513806317,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.4384907196205168,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5046779980538023,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.9547514914001436,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.6166242757329967,50 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5576278208004308,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2531663400073174,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,0.9354674035275472,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.1737416058873749,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.1472666945140608,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.2796412513806317,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.716477289040316,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.5901493643596827,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.4312998961197976,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.716477289040316,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5708652764870878,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.478203086680488,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.3458285298139172,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5708652764870878,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6238150992337161,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.1268384153266857,100 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.2195006051332857,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.610577643547059,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.1737416058873749,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5046779980538023,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.478203086680488,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5576278208004308,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.8223769345335725,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.2195006051332857,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.285687883566571,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7826645674736012,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5046779980538023,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6238150992337161,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.5708652764870878,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.6502900106070304,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,1.7032398333536587,200 ppm
LDH,SVG,Ox66,Normoxia,48 Hours,2.1930256937599713,200 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.0609526290702722,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.43579745911875856,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.34827573532554645,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.18573539113815252,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.29826332172942527,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.5483253897100313,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,1.1484743528634844,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,2.3737784859684528,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,1.6861077990217872,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.7233688372964555,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.660853320301304,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.4483005625177888,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.6858595270993646,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,0.9484246984790009,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,1.4360457310411812,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,3.011436759318999,Blank
LDH,SVG,Ox66,Hypoxia,48 Hours,2.2737536587762097,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.2985115936518479,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.3610271106469995,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.473555041238272,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.511064351435363,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.173480559661545,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.8736543500072402,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,3.3615236544918474,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,2.136219521386878,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.6360953854256661,50 ppm
LDH,SVG,Ox66,Hypoxia,48 Hours,1.5860829718295448,50 ppm
