cells,compound,exposure_time,condition,treatment,response
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.1163763377019595
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.603289403213288
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.7832252928784196
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.4751543859734646
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.3720995066522264
SVG,DEP,48 Hours,Hypoxia,Blank,2.8087115151341555
SVG,DEP,48 Hours,Hypoxia,Blank,1.22585561747289
SVG,DEP,48 Hours,Hypoxia,Blank,0.7480123276128854
SVG,DEP,48 Hours,Hypoxia,Blank,0.4493602714503825
SVG,DEP,48 Hours,Hypoxia,Blank,0.300034243369131
SVG,DEP,48 Hours,Hypoxia,Blank,0.47922547706663277
SVG,DEP,48 Hours,Hypoxia,Blank,0.7480123276128854
SVG,DEP,48 Hours,Hypoxia,Blank,1.7932945241816458
SVG,DEP,48 Hours,Hypoxia,Blank,2.2412726084254
SVG,DEP,48 Hours,Hypoxia,Blank,0.47922547706663277
SVG,DEP,48 Hours,Hypoxia,Blank,-0.2674046633396212
SVG,DEP,48 Hours,Hypoxia,Blank,0.21043862652038015
SVG,DEP,48 Hours,Hypoxia,Blank,0.7778775332291358
SVG,DEP,48 Hours,Hypoxia,Blank,0.7480123276128854
SVG,DEP,48 Hours,Hypoxia,Blank,1.106394795007889
SVG,DEP,48 Hours,Hypoxia,Blank,2.1516769915766494
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.6892506926691544
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.1661252062403895
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.47922547706663277
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.7181471219966351
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.807742738845386
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.8376079444616363
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.8674731500778866
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.002350963495398
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.7788463095179052
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.4647772624028925
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.598686299531634
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.22585561747289
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.405046851170392
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.3453164399378914
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.733564112949145
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.5100594589716527
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,3.5254764499241626
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.7634293185653953
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.9272035613103872
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.8973383556941369
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.3453164399378914
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.524507673635393
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.3154512343216411
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.748981103901655
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,3.883858917319163
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,2.21140740280915
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.614103290484144
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.405046851170392
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.524507673635393
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.4349120567866422
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.7036989073328948
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,3.346285216226661
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.883858917319163
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.3010030196579008
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.2412726084254
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.5543728792516434
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.7932945241816458
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.524507673635393
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.002350963495398
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.2865548049941604
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.8539937117029126
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.121811785960399
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.091946580344149
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.1516769915766494
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.330868225274151
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.0620813747278985
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.659385487052904
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.973454534167914
SVG,DEP,48 Hours,Hypoxia,Blank,1.2452462002808868
SVG,DEP,48 Hours,Hypoxia,Blank,0.06549977278589314
SVG,DEP,48 Hours,Hypoxia,Blank,0.24502640305687096
SVG,DEP,48 Hours,Hypoxia,Blank,0.5014930177296962
SVG,DEP,48 Hours,Hypoxia,Blank,0.9118396012062169
SVG,DEP,48 Hours,Hypoxia,Blank,0.8092529553370866
SVG,DEP,48 Hours,Hypoxia,Blank,1.4760661534864297
SVG,DEP,48 Hours,Hypoxia,Blank,2.8609858727196866
SVG,DEP,48 Hours,Hypoxia,Blank,1.4504194920191473
SVG,DEP,48 Hours,Hypoxia,Blank,0.32196638745871853
SVG,DEP,48 Hours,Hypoxia,Blank,0.06549977278589314
SVG,DEP,48 Hours,Hypoxia,Blank,0.16808641865502327
SVG,DEP,48 Hours,Hypoxia,Blank,0.8348996168043692
SVG,DEP,48 Hours,Hypoxia,Blank,1.065719570009912
SVG,DEP,48 Hours,Hypoxia,Blank,1.5017128149537122
SVG,DEP,48 Hours,Hypoxia,Blank,2.476285950710449
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.1428793516357754
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.9118396012062169
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.32196638745871853
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.6040796635988264
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.5527863406642614
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.2708928617481694
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.9377060598975153
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.886632534186969
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.835119414028385
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.681019648000674
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,-0.011440211615954432
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,0.8348996168043692
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.3221861846827345
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.2708928617481694
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,1.347832846150017
SVG,DEP,48 Hours,Hypoxia,20 ug/ml,2.8609858727196866
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.7838260910938202
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.8348996168043692
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.065719570009912
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.8605462782716518
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.1170128929444743
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.0400729085426295
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.732532768159255
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,3.4252124249999025
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.9377060598975153
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.6553729865333915
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.4501996947951312
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.24502640305687096
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.7323129709352391
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,0.6040796635988264
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,1.5017128149537122
SVG,DEP,48 Hours,Hypoxia,50 ug/ml,3.7073257011400105
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.29697911766349
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.296759320439471
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.835119414028385
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.9889993828320804
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.6555927837574074
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.0915860287012107
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.758399226850557
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,4.297198914887509
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,3.271332456196207
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.8607660754956679
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.6812394452246902
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.6812394452246902
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.6812394452246902
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,1.8864127369629502
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,2.1428793516357754
SVG,DEP,48 Hours,Hypoxia,100 ug/ml,4.168965607551096
SVG,Ox66,48 Hours,Normoxia,Blank,1.3643376073942384
SVG,Ox66,48 Hours,Normoxia,Blank,0.9058453374149711
SVG,Ox66,48 Hours,Normoxia,Blank,0.88947061348714
SVG,Ox66,48 Hours,Normoxia,Blank,0.7420980981366606
SVG,Ox66,48 Hours,Normoxia,Blank,0.7912222699201538
SVG,Ox66,48 Hours,Normoxia,Blank,0.8567211656314779
SVG,Ox66,48 Hours,Normoxia,Blank,0.88947061348714
SVG,Ox66,48 Hours,Normoxia,Blank,1.8064551534456768
SVG,Ox66,48 Hours,Normoxia,Blank,1.3643376073942384
SVG,Ox66,48 Hours,Normoxia,Blank,1.0368431288376194
SVG,Ox66,48 Hours,Normoxia,Blank,0.8567211656314779
SVG,Ox66,48 Hours,Normoxia,Blank,0.7584728220644916
SVG,Ox66,48 Hours,Normoxia,Blank,0.7748475459923228
SVG,Ox66,48 Hours,Normoxia,Blank,0.6438497545696744
SVG,Ox66,48 Hours,Normoxia,Blank,0.88947061348714
SVG,Ox66,48 Hours,Normoxia,Blank,1.4298365031055627
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.314071595208439
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.8064551534456768
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.7409562577343525
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.6099584663117041
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.7737057055900145
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.035701288435311
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.1012001841466352
SVG,Ox66,48 Hours,Normoxia,50 ppm,3.050934171960836
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.8719540491570008
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.6918320859508593
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.2497145398994212
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.167840920260266
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.3970870552499006
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.3807123313220695
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.2988387116829143
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.264947423424946
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.297696871280608
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.560834294528211
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.560834294528211
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.6590826380951973
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.7245815338065213
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.8392046013013386
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.035701288435311
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.5924419019815668
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.1994485277136215
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.6754573620230282
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.577209018456042
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.4134617791777315
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.2824639877550832
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.577209018456042
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.54445957060038
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.395945214847594
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7082068098786904
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7900804295178456
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.3643376073942384
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.4298365031055627
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.0368431288376194
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.577209018456042
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.4789606748890558
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.3631957669919323
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.2485726994971147
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7737057055900145
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.593583742383873
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.8228298773735077
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.577209018456042
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7737057055900145
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.002951840579649
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.7889385891155394
SVG,Ox66,48 Hours,Normoxia,Blank,1.3325910741272602
SVG,Ox66,48 Hours,Normoxia,Blank,0.9354674035275472
SVG,Ox66,48 Hours,Normoxia,Blank,0.8163303023476334
SVG,Ox66,48 Hours,Normoxia,Blank,0.5912935556744643
SVG,Ox66,48 Hours,Normoxia,Blank,0.6971932011677195
SVG,Ox66,48 Hours,Normoxia,Blank,1.0016546819608327
SVG,Ox66,48 Hours,Normoxia,Blank,1.1075543274540895
SVG,Ox66,48 Hours,Normoxia,Blank,1.729714744726973
SVG,Ox66,48 Hours,Normoxia,Blank,1.5179154537404593
SVG,Ox66,48 Hours,Normoxia,Blank,0.9487048592142043
SVG,Ox66,48 Hours,Normoxia,Blank,0.6839557454810624
SVG,Ox66,48 Hours,Normoxia,Blank,0.8428052137209475
SVG,Ox66,48 Hours,Normoxia,Blank,0.6045310113611213
SVG,Ox66,48 Hours,Normoxia,Blank,0.7766179352876621
SVG,Ox66,48 Hours,Normoxia,Blank,0.9089924921542331
SVG,Ox66,48 Hours,Normoxia,Blank,1.5046779980538023
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.6635274662936874
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.0943168717674323
SVG,Ox66,48 Hours,Normoxia,50 ppm,0.9751797705875185
SVG,Ox66,48 Hours,Normoxia,50 ppm,0.7766179352876621
SVG,Ox66,48 Hours,Normoxia,50 ppm,0.9884172262741756
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.2134539729473461
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.7032398333536587
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.2195006051332857
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.4312998961197976
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.7032398333536587
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.6635274662936874
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.2796412513806317
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.4384907196205168
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.5046779980538023
SVG,Ox66,48 Hours,Normoxia,50 ppm,1.9547514914001436
SVG,Ox66,48 Hours,Normoxia,50 ppm,2.6166242757329967
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.5576278208004308
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.2531663400073174
SVG,Ox66,48 Hours,Normoxia,100 ppm,0.9354674035275472
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.1737416058873749
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.1472666945140608
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.2796412513806317
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.716477289040316
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.5901493643596827
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.4312998961197976
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.716477289040316
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.5708652764870878
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.478203086680488
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.3458285298139172
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.5708652764870878
SVG,Ox66,48 Hours,Normoxia,100 ppm,1.6238150992337161
SVG,Ox66,48 Hours,Normoxia,100 ppm,2.1268384153266857
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.2195006051332857
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.610577643547059
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.1737416058873749
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.5046779980538023
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.478203086680488
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.5576278208004308
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.8223769345335725
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.2195006051332857
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.285687883566571
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7826645674736012
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.5046779980538023
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.6238150992337161
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.5708652764870878
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.6502900106070304
SVG,Ox66,48 Hours,Normoxia,200 ppm,1.7032398333536587
SVG,Ox66,48 Hours,Normoxia,200 ppm,2.1930256937599713
SVG,Ox66,48 Hours,Hypoxia,Blank,1.0609526290702722
SVG,Ox66,48 Hours,Hypoxia,Blank,0.43579745911875856
SVG,Ox66,48 Hours,Hypoxia,Blank,0.34827573532554645
SVG,Ox66,48 Hours,Hypoxia,Blank,0.18573539113815252
SVG,Ox66,48 Hours,Hypoxia,Blank,0.29826332172942527
SVG,Ox66,48 Hours,Hypoxia,Blank,0.5483253897100313
SVG,Ox66,48 Hours,Hypoxia,Blank,1.1484743528634844
SVG,Ox66,48 Hours,Hypoxia,Blank,2.3737784859684528
SVG,Ox66,48 Hours,Hypoxia,Blank,1.6861077990217872
SVG,Ox66,48 Hours,Hypoxia,Blank,0.7233688372964555
SVG,Ox66,48 Hours,Hypoxia,Blank,0.660853320301304
SVG,Ox66,48 Hours,Hypoxia,Blank,0.4483005625177888
SVG,Ox66,48 Hours,Hypoxia,Blank,0.6858595270993646
SVG,Ox66,48 Hours,Hypoxia,Blank,0.9484246984790009
SVG,Ox66,48 Hours,Hypoxia,Blank,1.4360457310411812
SVG,Ox66,48 Hours,Hypoxia,Blank,3.011436759318999
SVG,Ox66,48 Hours,Hypoxia,50 ppm,2.2737536587762097
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.2985115936518479
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.3610271106469995
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.473555041238272
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.511064351435363
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.173480559661545
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.8736543500072402
SVG,Ox66,48 Hours,Hypoxia,50 ppm,3.3615236544918474
SVG,Ox66,48 Hours,Hypoxia,50 ppm,2.136219521386878
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.6360953854256661
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.5860829718295448
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.1484743528634844
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.548573661632454
SVG,Ox66,48 Hours,Hypoxia,50 ppm,1.886157453406272
SVG,Ox66,48 Hours,Hypoxia,50 ppm,2.161225728184939
SVG,Ox66,48 Hours,Hypoxia,50 ppm,3.6365919292705113
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.473803313160695
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.711114005819848
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.4485488344402115
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.6861077990217872
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.6986109024208176
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.9986853839975434
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.736368484540333
SVG,Ox66,48 Hours,Hypoxia,100 ppm,3.786629170058875
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.7738777947374222
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.9861822805985145
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.7486233160169387
SVG,Ox66,48 Hours,Hypoxia,100 ppm,1.7486233160169387
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.148722624785907
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.2112381417810596
SVG,Ox66,48 Hours,Hypoxia,100 ppm,2.511312623357787
SVG,Ox66,48 Hours,Hypoxia,100 ppm,3.774126066659846
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.8361450398101509
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.4610519378392417
SVG,Ox66,48 Hours,Hypoxia,200 ppm,0.9609278018780312
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.3610271106469995
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.3360209038489388
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.3360209038489388
SVG,Ox66,48 Hours,Hypoxia,200 ppm,2.286256762175242
SVG,Ox66,48 Hours,Hypoxia,200 ppm,3.1739771035063917
SVG,Ox66,48 Hours,Hypoxia,200 ppm,2.3737784859684528
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.598586075228575
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.5610767650314843
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.38603331744506
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.6235922820266357
SVG,Ox66,48 Hours,Hypoxia,200 ppm,1.898660556805301
SVG,Ox66,48 Hours,Hypoxia,200 ppm,2.448797106362634
SVG,Ox66,48 Hours,Hypoxia,200 ppm,3.8866539972511176
SVG,Ox66,48 Hours,Hypoxia,Blank,1.0778289350812
SVG,Ox66,48 Hours,Hypoxia,Blank,0.6196661474333797
